"golden","state","num_trusted_judgment","birthplace","date_of_birth","race_ethnicity","religion","sexual_orientation","year_of_award","award","bio_url","movie","person"
"FALSE","finalized","3","Tokyo, Japan","1920-05-30T00:00:00.000Z","White","Na","Straight","1970","Best Director","http://www.nndb.com/people/509/000032413/","Patton","Franklin J. Schaffner"
"FALSE","finalized","3","Chicago, Il","1935-08-29T00:00:00.000Z","White","Jewish","Straight","1972","Best Director","http://www.nndb.com/people/112/000024040/","The French Connection","William Friedkin"
"FALSE","finalized","3","Chicago, Il","1927-06-23T00:00:00.000Z","White","Na","Straight","1973","Best Director","http://www.nndb.com/people/159/000032063/","Cabaret","Bob Fosse"
"FALSE","finalized","3","Minneapolis, Mn","1921-12-20T00:00:00.000Z","White","Na","Straight","1973","Best Director","http://www.nndb.com/people/783/000032687/","The Sting","George Roy Hill"
"FALSE","finalized","3","Detroit, Mi","1939-04-07T00:00:00.000Z","White","Na","Straight","1975","Best Director","http://www.nndb.com/people/866/000022800/","The Godfather Part II","Francis Ford Coppola"
"FALSE","finalized","3","C��slav, Czechoslovakia","1932-02-18T00:00:00.000Z","White","Na","Straight","1976","Best Director","http://www.nndb.com/people/622/000023553/","One Flew over the Cuckoo's Nest","Milos Forman"
"FALSE","finalized","3","Oak Park, Il","1935-12-21T00:00:00.000Z","White","Na","Straight","1976","Best Director","http://www.nndb.com/people/679/000032583/","Rocky","John G. Avildsen"
"FALSE","finalized","3","Brooklyn, Ny","1935-12-01T00:00:00.000Z","White","Jewish","Straight","1978","Best Director","http://www.nndb.com/people/501/000022435/","Annie Hall","Woody Allen"
"TRUE","golden","75","New York City","1939-02-03T00:00:00.000Z","White","Na","Straight","1979","Best Director","http://www.nndb.com/people/810/000043681/","The Deer Hunter","Michael Cimino"
"FALSE","finalized","3","Waxahachie, Tx","1932-09-29T00:00:00.000Z","White","Na","Straight","1980","Best Director","http://www.nndb.com/people/267/000064075/","Kramer vs. Kramer","Robert Benton"
"FALSE","finalized","3","Santa Monica, Ca","1936-08-18T00:00:00.000Z","White","Na","Straight","1980","Best Director","http://www.nndb.com/people/795/000022729/","Ordinary People","Robert Redford"
"FALSE","finalized","3","Richmond, Va","1937-03-30T00:00:00.000Z","White","Baptist","Straight","1981","Best Director","http://www.nndb.com/people/719/000022653/","Reds","Warren Beatty"
"FALSE","finalized","3","Cambridge, England","1923-08-29T00:00:00.000Z","White","Na","Straight","1982","Best Director","http://www.nndb.com/people/750/000023681/","Gandhi","Richard Attenborough"
"FALSE","finalized","3","North Bergen, Nj","1940-05-09T00:00:00.000Z","White","Na","Straight","1983","Best Director","http://www.nndb.com/people/209/000024137/","Terms of Endearment","James L. Brooks"
"FALSE","finalized","3","C��slav, Czechoslovakia","1932-02-18T00:00:00.000Z","White","Na","Straight","1985","Best Director","http://www.nndb.com/people/622/000023553/","Amadeus","Milos Forman"
"FALSE","finalized","3","Lafayette, In","1934-07-01T00:00:00.000Z","White","Jewish","Straight","1986","Best Director","http://www.nndb.com/people/772/000023703/","Out of Africa","Sydney Pollack"
"FALSE","finalized","3","New York City","1946-09-15T00:00:00.000Z","White","Atheist","Straight","1990","Best Director","http://www.nndb.com/people/545/000022479/","Platoon","Oliver Stone"
"FALSE","finalized","3","Parma, Emilia-Romagna, Italy","1941-03-16T00:00:00.000Z","White","Na","Straight","1988","Best Director","http://www.nndb.com/people/268/000024196/","The Last Emperor","Bernardo Bertolucci"
"FALSE","finalized","3","Baltimore, Md","1942-04-06T00:00:00.000Z","White","Jewish","Straight","1989","Best Director","http://www.nndb.com/people/748/000023679/","Rain Man","Barry Levinson"
"FALSE","finalized","3","New York City","1946-09-15T00:00:00.000Z","White","Atheist","Straight","1990","Best Director","http://www.nndb.com/people/545/000022479/","Born on the Fourth of July","Oliver Stone"
"FALSE","finalized","3","Lynwood, Ca","1955-01-18T00:00:00.000Z","White","Baptist","Straight","1991","Best Director","http://www.nndb.com/people/758/000022692/","Dances with Wolves","Kevin Costner"
"FALSE","finalized","3","Baldwin, Ny","1944-02-22T00:00:00.000Z","White","Na","Straight","1992","Best Director","http://www.nndb.com/people/578/000024506/","The Silence of the Lambs","Jonathan Demme"
"FALSE","finalized","3","San Francisco, Ca","1930-05-31T00:00:00.000Z","White","Na","Straight","1993","Best Director","http://www.nndb.com/people/849/000022783/","Unforgiven","Clint Eastwood"
"FALSE","finalized","3","Cincinnati, Oh","1946-12-18T00:00:00.000Z","White","Jewish","Straight","1994","Best Director","http://www.nndb.com/people/734/000022668/","Schindler's List","Steven Spielberg"
"FALSE","finalized","3","Chicago, Il","1952-05-14T00:00:00.000Z","White","Roman Catholic","Straight","1995","Best Director","http://www.nndb.com/people/224/000025149/","Forrest Gump","Robert Zemeckis"
"FALSE","finalized","3","Peekskill, Ny","1956-01-03T00:00:00.000Z","White","Roman Catholic","Straight","1996","Best Director","http://www.nndb.com/people/583/000022517/","Braveheart","Mel Gibson"
"FALSE","finalized","3","Ryde, Isle of Wight, England","1954-01-06T00:00:00.000Z","White","Na","Straight","1997","Best Director","http://www.nndb.com/people/513/000032417/","The English Patient","Anthony Minghella"
"FALSE","finalized","3","Kapuskasing, Ontario, Canada","1954-08-16T00:00:00.000Z","White","Atheist","Straight","1998","Best Director","http://www.nndb.com/people/385/000025310/","Titanic","James Cameron"
"FALSE","finalized","3","Cincinnati, Oh","1946-12-18T00:00:00.000Z","White","Jewish","Straight","1999","Best Director","http://www.nndb.com/people/734/000022668/","Saving Private Ryan","Steven Spielberg"
"FALSE","finalized","3","Reading, Berkshire, England","1965-08-01T00:00:00.000Z","White","Na","Straight","2000","Best Director","http://www.nndb.com/people/059/000025981/","American Beauty","Sam Mendes"
"FALSE","finalized","3","Atlanta, Ga","1963-01-14T00:00:00.000Z","White","Atheist","Straight","2001","Best Director","http://www.nndb.com/people/907/000025832/","Traffic","Steven Soderbergh"
"FALSE","finalized","3","Duncan, Ok","1954-03-01T00:00:00.000Z","White","Na","Straight","2002","Best Director","http://www.nndb.com/people/365/000025290/","A Beautiful Mind","Ron Howard"
"FALSE","finalized","3","Paris, France","1933-08-18T00:00:00.000Z","White","See Note","Straight","2003","Best Director","http://www.nndb.com/people/541/000023472/","The Pianist","Roman Polanski"
"FALSE","finalized","3","Wellington, New Zealand","1961-10-31T00:00:00.000Z","White","Na","Straight","2004","Best Director","http://www.nndb.com/people/848/000025773/","The Lord of the Rings: Return of the King","Peter Jackson"
"FALSE","finalized","3","San Francisco, Ca","1930-05-31T00:00:00.000Z","White","Na","Straight","2005","Best Director","http://www.nndb.com/people/849/000022783/","Million Dollar Baby","Clint Eastwood"
"FALSE","finalized","3","Pingtung, Taiwan","1954-10-23T00:00:00.000Z","Asian","Na","Straight","2006","Best Director","http://www.nndb.com/people/394/000025319/","Brokeback Mountain","Ang Lee"
